,A02m_a3l,A02m_a3r,A02n_a3l,A02n_a3r,A09a_a3l,A09a_a3r,A09c_a3l,A09c_a3r,A09l_a3l,A09l_a3r,A10a_a3l,A10a_a3r
ddaC_a3l,0.08196721311475409,0.07094594594594594,0.05491329479768786,0.055944055944055944,0.05240174672489083,0.012618296529968454,0.011142061281337047,0.0018083182640144665,0.05155875299760192,0.017721518987341773,0.021621621621621623,0.05834683954619125
ddaC_a3r,0.05901639344262295,0.11824324324324324,0.07803468208092486,0.08041958041958042,0.014971927635683094,0.050473186119873815,0.0,0.0054249547920434,0.011990407673860911,0.05063291139240506,0.07747747747747748,0.03727714748784441
v'ada_a3l,0.009836065573770493,0.0,0.002890173410404624,0.0034965034965034965,0.043044291952588895,0.0,0.05013927576601671,0.0,0.049160671462829736,0.0,0.0,0.012965964343598054
v'ada_a3r,0.013114754098360656,0.016891891891891893,0.017341040462427744,0.0,0.0,0.039116719242902206,0.011142061281337047,0.05605786618444846,0.0,0.05949367088607595,0.010810810810810811,0.0
vdaB_a3l,0.0,0.0,0.0,0.0,0.006238303181534623,0.0006309148264984228,0.05385329619312906,0.019891500904159132,0.07074340527577938,0.020253164556962026,0.04144144144144144,0.09238249594813615
vdaB_a3r,0.006557377049180328,0.006756756756756757,0.002890173410404624,0.006993006993006993,0.0,0.002523659305993691,0.04178272980501393,0.054249547920433995,0.03117505995203837,0.060759493670886074,0.07927927927927927,0.06158833063209076
