Row,A02m_a1l,A02m_a1r,A02n_a1l,A02n_a1r,A09a_a1l,A09a_a1r,A09c_a1l,A09c_a1r,A09l_a1l,A09l_a1r,A10a_a1l,A10a_a1r
ddaC_a1l,0.0536368393511251,0.0166143380429095,0.09375,0.03125,0.0167103663170695,0,0.0195030372602478,0,0.0479980432001204,0.00630315345826748,0.00480769230769231,0.043040293040293
ddaC_a1r,0.0166143380429095,0.0536368393511251,0.03125,0.09375,0,0.0167103663170695,0,0.0195030372602478,0.00630315345826748,0.0479980432001204,0.043040293040293,0.00480769230769231
v'ada_a1l,0.0204081632653061,0,0.04375,0.00625,0.0370497036023712,0,0.0711842923422777,0,0.0896929329419734,0,0,0.0525641025641026
v'ada_a1r,0,0.0204081632653061,0.00625,0.04375,0,0.0370497036023712,0,0.0711842923422777,0,0.0896929329419734,0.0525641025641026,0
vdaB_a1l,0.0306122448979592,0,0.01875,0.00625,0.00472146222830217,0,0.0708853494045057,0.0170277897354953,0.0785730413185821,0.0271694137126515,0.0190934065934066,0.0716117216117216
vdaB_a1r,0,0.0306122448979592,0.00625,0.01875,0,0.00472146222830217,0.0170277897354953,0.0708853494045057,0.0271694137126515,0.0785730413185821,0.0716117216117216,0.0190934065934066
