Row,A02m_a3l,A02m_a3r,A02n_a3l,A02n_a3r,A09a_a3l,A09a_a3r,A09c_a3l,A09c_a3r,A09l_a3l,A09l_a3r,A10a_a3l,A10a_a3r
ddaC_a3l,0.100105228178999,0.0649811696942844,0.0676664376086341,0.0669893690124904,0.0514374664223823,0.0137951120828258,0.00828350803669022,0.000904159132007233,0.0510958321950035,0.0148559633306013,0.029449384554733,0.0679121585118344
ddaC_a3r,0.0649811696942844,0.100105228178999,0.0669893690124904,0.0676664376086341,0.0137951120828258,0.0514374664223823,0.000904159132007233,0.00828350803669022,0.0148559633306013,0.0510958321950035,0.0679121585118344,0.029449384554733
v'ada_a3l,0.0133639787328312,0.00655737704918033,0.00144508670520231,0.0104187719794656,0.0410805055977456,0,0.0530985709752326,0.00557103064066852,0.0543271711744528,0,0,0.0118883875772044
v'ada_a3r,0.00655737704918033,0.0133639787328312,0.0104187719794656,0.00144508670520231,0,0.0410805055977456,0.00557103064066852,0.0530985709752326,0,0.0543271711744528,0.0118883875772044,0
vdaB_a3l,0.00337837837837838,0.00327868852459016,0.0034965034965035,0.00144508670520231,0.00438098124376416,0.000315457413249211,0.0540514220567815,0.0308371153545865,0.0657514494733327,0.0257141122545002,0.0515148860367661,0.0858308876137077
vdaB_a3r,0.00327868852459016,0.00337837837837838,0.00144508670520231,0.0034965034965035,0.000315457413249211,0.00438098124376416,0.0308371153545865,0.0540514220567815,0.0257141122545002,0.0657514494733327,0.0858308876137077,0.0515148860367661
