,A02m_a1l,A02m_a1r,A02n_a1l,A02n_a1r,A09a_a1l,A09a_a1r,A09c_a1l,A09c_a1r,A09l_a1l,A09l_a1r,A10a_a1l,A10a_a1r
ddaC_a1l,0.08163265306122448,0.01282051282051282,0.0875,0.0375,0.013071895424836602,0.0,0.024154589371980676,0.0,0.03398058252427184,0.007751937984496124,0.009615384615384616,0.047619047619047616
ddaC_a1r,0.02040816326530612,0.02564102564102564,0.025,0.1,0.0,0.020348837209302327,0.0,0.01485148514851485,0.0048543689320388345,0.06201550387596899,0.038461538461538464,0.0
v'ada_a1l,0.04081632653061224,0.0,0.0875,0.0125,0.0392156862745098,0.0,0.04830917874396135,0.0,0.06310679611650485,0.0,0.0,0.06666666666666667
v'ada_a1r,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.09405940594059406,0.0,0.11627906976744186,0.038461538461538464,0.0
vdaB_a1l,0.061224489795918366,0.0,0.0375,0.0125,0.006535947712418301,0.0,0.07246376811594203,0.009900990099009901,0.08737864077669903,0.015503875968992248,0.009615384615384616,0.10476190476190476
vdaB_a1r,0.0,0.0,0.0,0.0,0.0,0.0029069767441860465,0.024154589371980676,0.06930693069306931,0.038834951456310676,0.06976744186046512,0.038461538461538464,0.02857142857142857
